SKU,Product Code,Product Name,Product description,Quantity On Hand ,Value
PK4940,Bori,Khalli walli,Altaf bhai ki signature bori,48,76
PK2833,Bori,Khalli walli,Altaf bhai ki signature bori,40,46
PK4924,Bori,Khalli walli,Altaf bhai ki signature bori,46,94
PK3432,Bori,Khalli walli,Altaf bhai ki signature bori,32,89
PK3820,Bori,Khalli walli,Altaf bhai ki signature bori,53,21
PK4998,Bori,Khalli walli,Altaf bhai ki signature bori,52,52
PK2230,Bori,Khalli walli,Altaf bhai ki signature bori,58,46
PK2589,Bori,Khalli walli,Altaf bhai ki signature bori,33,78
PK3202,Bori,Khalli walli,Altaf bhai ki signature bori,42,50
PK1918,Bori,Khalli walli,Altaf bhai ki signature bori,57,93
PK5168,Bori,Khalli walli,Altaf bhai ki signature bori,44,95
PK4261,Bori,Khalli walli,Altaf bhai ki signature bori,46,40
PK3339,Bori,Khalli walli,Altaf bhai ki signature bori,45,59
PK1424,Bori,Khalli walli,Altaf bhai ki signature bori,41,33
PK3937,Bori,Khalli walli,Altaf bhai ki signature bori,33,66
PK5149,Bori,Khalli walli,Altaf bhai ki signature bori,41,55
PK5493,Bori,Khalli walli,Altaf bhai ki signature bori,50,73
PK2899,Bori,Khalli walli,Altaf bhai ki signature bori,47,89
PK1895,Bori,Khalli walli,Altaf bhai ki signature bori,58,41
PK4024,Bori,Khalli walli,Altaf bhai ki signature bori,40,64
PK2259,Bori,Khalli walli,Altaf bhai ki signature bori,57,27
PK3367,Bori,Khalli walli,Altaf bhai ki signature bori,40,69
PK3426,Bori,Khalli walli,Altaf bhai ki signature bori,35,43
PK1183,Bori,Khalli walli,Altaf bhai ki signature bori,42,20
PK2899,Bori,Khalli walli,Altaf bhai ki signature bori,26,57
PK1656,Bori,Khalli walli,Altaf bhai ki signature bori,20,52
PK1186,Bori,Khalli walli,Altaf bhai ki signature bori,44,46
PK2130,Bori,Khalli walli,Altaf bhai ki signature bori,29,75
PK4523,Bori,Khalli walli,Altaf bhai ki signature bori,50,64
PK4801,Bori,Khalli walli,Altaf bhai ki signature bori,51,88
PK3820,Bori,Khalli walli,Altaf bhai ki signature bori,43,92
PK3406,Bori,Khalli walli,Altaf bhai ki signature bori,21,100
PK5158,Bori,Khalli walli,Altaf bhai ki signature bori,29,57
PK2312,Bori,Khalli walli,Altaf bhai ki signature bori,60,91
PK4423,Bori,Khalli walli,Altaf bhai ki signature bori,32,54
PK2898,Bori,Khalli walli,Altaf bhai ki signature bori,33,58
PK2517,Bori,Khalli walli,Altaf bhai ki signature bori,60,74
PK3186,Bori,Khalli walli,Altaf bhai ki signature bori,43,86
PK4096,Bori,Khalli walli,Altaf bhai ki signature bori,35,92
PK3322,Bori,Khalli walli,Altaf bhai ki signature bori,42,95
PK2807,Bori,Khalli walli,Altaf bhai ki signature bori,50,70
PK3353,Bori,Khalli walli,Altaf bhai ki signature bori,34,60
PK3198,Bori,Khalli walli,Altaf bhai ki signature bori,50,27
PK3815,Bori,Khalli walli,Altaf bhai ki signature bori,48,33
PK4324,Bori,Khalli walli,Altaf bhai ki signature bori,30,92
PK4099,Bori,Khalli walli,Altaf bhai ki signature bori,53,47
PK3727,Bori,Khalli walli,Altaf bhai ki signature bori,52,34
PK4820,Bori,Khalli walli,Altaf bhai ki signature bori,57,74
PK3675,Bori,Khalli walli,Altaf bhai ki signature bori,46,86
PK1849,Bori,Khalli walli,Altaf bhai ki signature bori,58,69
PK2821,Bori,Khalli walli,Altaf bhai ki signature bori,47,43
PK3590,Bori,Khalli walli,Altaf bhai ki signature bori,50,88
PK2582,Bori,Khalli walli,Altaf bhai ki signature bori,53,96
PK1421,Bori,Khalli walli,Altaf bhai ki signature bori,20,73
PK5129,Bori,Khalli walli,Altaf bhai ki signature bori,39,54
PK1339,Bori,Khalli walli,Altaf bhai ki signature bori,59,54
PK4577,Bori,Khalli walli,Altaf bhai ki signature bori,41,82
PK1826,Bori,Khalli walli,Altaf bhai ki signature bori,35,44
PK2216,Bori,Khalli walli,Altaf bhai ki signature bori,51,87
PK3668,Bori,Khalli walli,Altaf bhai ki signature bori,34,74
PK1248,Bori,Khalli walli,Altaf bhai ki signature bori,41,58
PK5163,Bori,Khalli walli,Altaf bhai ki signature bori,41,46
PK3321,Bori,Khalli walli,Altaf bhai ki signature bori,57,76
PK3285,Bori,Khalli walli,Altaf bhai ki signature bori,60,86
PK3172,Bori,Khalli walli,Altaf bhai ki signature bori,54,58
PK2128,Bori,Khalli walli,Altaf bhai ki signature bori,36,43
PK3608,Bori,Khalli walli,Altaf bhai ki signature bori,53,20
PK2973,Bori,Khalli walli,Altaf bhai ki signature bori,54,69
PK4541,Bori,Khalli walli,Altaf bhai ki signature bori,27,28
PK1761,Bori,Khalli walli,Altaf bhai ki signature bori,30,96
PK2572,Bori,Khalli walli,Altaf bhai ki signature bori,52,79
PK4807,Bori,Khalli walli,Altaf bhai ki signature bori,46,81
PK1557,Bori,Khalli walli,Altaf bhai ki signature bori,53,32
PK1433,Bori,Khalli walli,Altaf bhai ki signature bori,60,69
PK2021,Bori,Khalli walli,Altaf bhai ki signature bori,54,80
PK3323,Bori,Khalli walli,Altaf bhai ki signature bori,41,48
PK2796,Bori,Khalli walli,Altaf bhai ki signature bori,26,49
PK1406,Bori,Khalli walli,Altaf bhai ki signature bori,52,30
PK5010,Bori,Khalli walli,Altaf bhai ki signature bori,58,95
PK3996,Bori,Khalli walli,Altaf bhai ki signature bori,26,96
PK1246,Bori,Khalli walli,Altaf bhai ki signature bori,45,28
PK2780,Bori,Khalli walli,Altaf bhai ki signature bori,20,88
PK5130,Bori,Khalli walli,Altaf bhai ki signature bori,36,53
PK2248,Bori,Khalli walli,Altaf bhai ki signature bori,46,90
PK2225,Bori,Khalli walli,Altaf bhai ki signature bori,46,80
PK2500,Bori,Khalli walli,Altaf bhai ki signature bori,53,94
PK2046,Bori,Khalli walli,Altaf bhai ki signature bori,60,76
PK1384,Bori,Khalli walli,Altaf bhai ki signature bori,41,96
PK1728,Bori,Khalli walli,Altaf bhai ki signature bori,22,97
PK1993,Bori,Khalli walli,Altaf bhai ki signature bori,32,56
PK3238,Bori,Khalli walli,Altaf bhai ki signature bori,49,44
PK3665,Bori,Khalli walli,Altaf bhai ki signature bori,33,27
PK4012,Bori,Khalli walli,Altaf bhai ki signature bori,45,48
PK3982,Bori,Khalli walli,Altaf bhai ki signature bori,20,72
PK3913,Bori,Khalli walli,Altaf bhai ki signature bori,48,80
PK2353,Bori,Khalli walli,Altaf bhai ki signature bori,53,56
PK2334,Bori,Khalli walli,Altaf bhai ki signature bori,27,33
PK4833,Bori,Khalli walli,Altaf bhai ki signature bori,33,21
PK3484,Bori,Khalli walli,Altaf bhai ki signature bori,37,48
PK1382,Bori,Khalli walli,Altaf bhai ki signature bori,30,87
PK5001,Bori,Khalli walli,Altaf bhai ki signature bori,30,83
PK2883,Bori,Khalli walli,Altaf bhai ki signature bori,20,67
PK1285,Bori,Khalli walli,Altaf bhai ki signature bori,29,24
PK3977,Bori,Khalli walli,Altaf bhai ki signature bori,60,92
PK3371,Bori,Khalli walli,Altaf bhai ki signature bori,58,20
PK3132,Bori,Khalli walli,Altaf bhai ki signature bori,35,31
PK2754,Bori,Khalli walli,Altaf bhai ki signature bori,37,72
PK2934,Bori,Khalli walli,Altaf bhai ki signature bori,41,49
PK1504,Bori,Khalli walli,Altaf bhai ki signature bori,36,87
PK5316,Bori,Khalli walli,Altaf bhai ki signature bori,37,36
PK4682,Bori,Khalli walli,Altaf bhai ki signature bori,22,33
PK2118,Bori,Khalli walli,Altaf bhai ki signature bori,39,20
PK1168,Bori,Khalli walli,Altaf bhai ki signature bori,54,98
PK5100,Bori,Khalli walli,Altaf bhai ki signature bori,37,51
PK3623,Bori,Khalli walli,Altaf bhai ki signature bori,45,86
PK3219,Bori,Khalli walli,Altaf bhai ki signature bori,31,22
PK2268,Bori,Khalli walli,Altaf bhai ki signature bori,55,77
PK4922,Bori,Khalli walli,Altaf bhai ki signature bori,44,84
PK3223,Bori,Khalli walli,Altaf bhai ki signature bori,30,71
PK2252,Bori,Khalli walli,Altaf bhai ki signature bori,29,28
PK4457,Bori,Khalli walli,Altaf bhai ki signature bori,59,34
PK3708,Bori,Khalli walli,Altaf bhai ki signature bori,46,33
PK1366,Bori,Khalli walli,Altaf bhai ki signature bori,54,91
PK2605,Bori,Khalli walli,Altaf bhai ki signature bori,21,82
PK4816,Bori,Khalli walli,Altaf bhai ki signature bori,41,54
PK3931,Bori,Khalli walli,Altaf bhai ki signature bori,41,87
PK2556,Bori,Khalli walli,Altaf bhai ki signature bori,26,98
PK5426,Bori,Khalli walli,Altaf bhai ki signature bori,53,79
PK2147,Bori,Khalli walli,Altaf bhai ki signature bori,49,86
PK3159,Bori,Khalli walli,Altaf bhai ki signature bori,37,48
PK3049,Bori,Khalli walli,Altaf bhai ki signature bori,43,37
PK3507,Bori,Khalli walli,Altaf bhai ki signature bori,49,77
PK3687,Bori,Khalli walli,Altaf bhai ki signature bori,29,76
PK3000,Bori,Khalli walli,Altaf bhai ki signature bori,56,69
PK4326,Bori,Khalli walli,Altaf bhai ki signature bori,38,25
PK2598,Bori,Khalli walli,Altaf bhai ki signature bori,44,91
PK1158,Bori,Khalli walli,Altaf bhai ki signature bori,55,21
PK3422,Bori,Khalli walli,Altaf bhai ki signature bori,49,100
PK2870,Bori,Khalli walli,Altaf bhai ki signature bori,26,58
PK1341,Bori,Khalli walli,Altaf bhai ki signature bori,44,98
PK4827,Bori,Khalli walli,Altaf bhai ki signature bori,29,63
PK2091,Bori,Khalli walli,Altaf bhai ki signature bori,52,44
PK3716,Bori,Khalli walli,Altaf bhai ki signature bori,22,79
PK4844,Bori,Khalli walli,Altaf bhai ki signature bori,56,45
PK1696,Bori,Khalli walli,Altaf bhai ki signature bori,50,72
PK2325,Bori,Khalli walli,Altaf bhai ki signature bori,51,50
PK1729,Bori,Khalli walli,Altaf bhai ki signature bori,60,86
PK4329,Bori,Khalli walli,Altaf bhai ki signature bori,20,93
PK4110,Bori,Khalli walli,Altaf bhai ki signature bori,41,77
PK3196,Bori,Khalli walli,Altaf bhai ki signature bori,49,22
PK1280,Bori,Khalli walli,Altaf bhai ki signature bori,56,21
PK4542,Bori,Khalli walli,Altaf bhai ki signature bori,44,100
PK4233,Bori,Khalli walli,Altaf bhai ki signature bori,45,36
PK4361,Bori,Khalli walli,Altaf bhai ki signature bori,54,28
PK4997,Bori,Khalli walli,Altaf bhai ki signature bori,48,23
PK3079,Bori,Khalli walli,Altaf bhai ki signature bori,21,84
PK3387,Bori,Khalli walli,Altaf bhai ki signature bori,38,100
PK4599,Bori,Khalli walli,Altaf bhai ki signature bori,36,62
PK2930,Bori,Khalli walli,Altaf bhai ki signature bori,37,85
PK1905,Bori,Khalli walli,Altaf bhai ki signature bori,52,65
PK2121,Bori,Khalli walli,Altaf bhai ki signature bori,55,61
PK3439,Bori,Khalli walli,Altaf bhai ki signature bori,42,21
PK3267,Bori,Khalli walli,Altaf bhai ki signature bori,43,82
PK2775,Bori,Khalli walli,Altaf bhai ki signature bori,55,96
PK4782,Bori,Khalli walli,Altaf bhai ki signature bori,32,90
PK5501,Bori,Khalli walli,Altaf bhai ki signature bori,21,98
PK3044,Bori,Khalli walli,Altaf bhai ki signature bori,37,89
PK5330,Bori,Khalli walli,Altaf bhai ki signature bori,32,30
PK1367,Bori,Khalli walli,Altaf bhai ki signature bori,22,83
PK4515,Bori,Khalli walli,Altaf bhai ki signature bori,23,99
PK2367,Bori,Khalli walli,Altaf bhai ki signature bori,50,68
PK3572,Bori,Khalli walli,Altaf bhai ki signature bori,53,33
PK4814,Bori,Khalli walli,Altaf bhai ki signature bori,45,65
PK5292,Bori,Khalli walli,Altaf bhai ki signature bori,54,79
PK2848,Bori,Khalli walli,Altaf bhai ki signature bori,47,35
PK1893,Bori,Khalli walli,Altaf bhai ki signature bori,32,33
PK1380,Bori,Khalli walli,Altaf bhai ki signature bori,32,57
PK3041,Bori,Khalli walli,Altaf bhai ki signature bori,49,25
PK3658,Bori,Khalli walli,Altaf bhai ki signature bori,44,69
PK2894,Bori,Khalli walli,Altaf bhai ki signature bori,42,20
PK2445,Bori,Khalli walli,Altaf bhai ki signature bori,28,68
PK2959,Bori,Khalli walli,Altaf bhai ki signature bori,51,27
PK4712,Bori,Khalli walli,Altaf bhai ki signature bori,36,72
PK1706,Bori,Khalli walli,Altaf bhai ki signature bori,25,91
PK2914,Bori,Khalli walli,Altaf bhai ki signature bori,21,68
PK4616,Bori,Khalli walli,Altaf bhai ki signature bori,53,20
PK5407,Bori,Khalli walli,Altaf bhai ki signature bori,42,93
PK1643,Bori,Khalli walli,Altaf bhai ki signature bori,46,84
PK1556,Bori,Khalli walli,Altaf bhai ki signature bori,34,44
PK4489,Bori,Khalli walli,Altaf bhai ki signature bori,49,40
PK2561,Bori,Khalli walli,Altaf bhai ki signature bori,50,65
PK1861,Bori,Khalli walli,Altaf bhai ki signature bori,26,28
PK5452,Bori,Khalli walli,Altaf bhai ki signature bori,26,90
PK5243,Bori,Khalli walli,Altaf bhai ki signature bori,20,41
PK5021,Bori,Khalli walli,Altaf bhai ki signature bori,47,93
PK1766,Bori,Khalli walli,Altaf bhai ki signature bori,24,57
PK5076,Bori,Khalli walli,Altaf bhai ki signature bori,35,82
PK5381,Bori,Khalli walli,Altaf bhai ki signature bori,50,51
PK3169,Bori,Khalli walli,Altaf bhai ki signature bori,59,72
PK4228,Bori,Khalli walli,Altaf bhai ki signature bori,20,56
PK4528,Bori,Khalli walli,Altaf bhai ki signature bori,43,47
PK4495,Bori,Khalli walli,Altaf bhai ki signature bori,50,80
PK4017,Bori,Khalli walli,Altaf bhai ki signature bori,21,74
PK5099,Bori,Khalli walli,Altaf bhai ki signature bori,53,65
PK3476,Bori,Khalli walli,Altaf bhai ki signature bori,43,32
PK2709,Bori,Khalli walli,Altaf bhai ki signature bori,60,53
PK1651,Bori,Khalli walli,Altaf bhai ki signature bori,25,28
PK4128,Bori,Khalli walli,Altaf bhai ki signature bori,25,38
PK5272,Bori,Khalli walli,Altaf bhai ki signature bori,49,61
PK2629,Bori,Khalli walli,Altaf bhai ki signature bori,28,79
PK3975,Bori,Khalli walli,Altaf bhai ki signature bori,52,22
PK4115,Bori,Khalli walli,Altaf bhai ki signature bori,60,71
PK1346,Bori,Khalli walli,Altaf bhai ki signature bori,25,61
PK4437,Bori,Khalli walli,Altaf bhai ki signature bori,27,95
PK1403,Bori,Khalli walli,Altaf bhai ki signature bori,24,90
PK5367,Bori,Khalli walli,Altaf bhai ki signature bori,24,80
PK1410,Bori,Khalli walli,Altaf bhai ki signature bori,48,23
PK1697,Bori,Khalli walli,Altaf bhai ki signature bori,57,78
PK2924,Bori,Khalli walli,Altaf bhai ki signature bori,27,77
PK4261,Bori,Khalli walli,Altaf bhai ki signature bori,41,87
PK5035,Bori,Khalli walli,Altaf bhai ki signature bori,26,44
PK5097,Bori,Khalli walli,Altaf bhai ki signature bori,35,53
PK3915,Bori,Khalli walli,Altaf bhai ki signature bori,47,54
PK3274,Bori,Khalli walli,Altaf bhai ki signature bori,58,99
PK2754,Bori,Khalli walli,Altaf bhai ki signature bori,32,71
PK2283,Bori,Khalli walli,Altaf bhai ki signature bori,59,61
PK4656,Bori,Khalli walli,Altaf bhai ki signature bori,29,91
PK2804,Bori,Khalli walli,Altaf bhai ki signature bori,31,61
PK4768,Bori,Khalli walli,Altaf bhai ki signature bori,28,43
PK4580,Bori,Khalli walli,Altaf bhai ki signature bori,29,27
PK2521,Bori,Khalli walli,Altaf bhai ki signature bori,51,49
PK2676,Bori,Khalli walli,Altaf bhai ki signature bori,48,97
PK4830,Bori,Khalli walli,Altaf bhai ki signature bori,50,32
PK2201,Bori,Khalli walli,Altaf bhai ki signature bori,23,71
PK1978,Bori,Khalli walli,Altaf bhai ki signature bori,37,78
PK1183,Bori,Khalli walli,Altaf bhai ki signature bori,29,69
PK3705,Bori,Khalli walli,Altaf bhai ki signature bori,38,71
PK5017,Bori,Khalli walli,Altaf bhai ki signature bori,50,75
PK2848,Bori,Khalli walli,Altaf bhai ki signature bori,24,30
PK4764,Bori,Khalli walli,Altaf bhai ki signature bori,60,41
PK1332,Bori,Khalli walli,Altaf bhai ki signature bori,49,66
PK2815,Bori,Khalli walli,Altaf bhai ki signature bori,53,64
PK1660,Bori,Khalli walli,Altaf bhai ki signature bori,53,82
PK2794,Bori,Khalli walli,Altaf bhai ki signature bori,47,52
PK3030,Bori,Khalli walli,Altaf bhai ki signature bori,55,72
PK2955,Bori,Khalli walli,Altaf bhai ki signature bori,20,40
PK3062,Bori,Khalli walli,Altaf bhai ki signature bori,26,98
PK4365,Bori,Khalli walli,Altaf bhai ki signature bori,23,20
PK3159,Bori,Khalli walli,Altaf bhai ki signature bori,54,23
PK5250,Bori,Khalli walli,Altaf bhai ki signature bori,38,61
PK5422,Bori,Khalli walli,Altaf bhai ki signature bori,38,76
PK4805,Bori,Khalli walli,Altaf bhai ki signature bori,40,28
PK5375,Bori,Khalli walli,Altaf bhai ki signature bori,23,28
PK3988,Bori,Khalli walli,Altaf bhai ki signature bori,60,59
PK4215,Bori,Khalli walli,Altaf bhai ki signature bori,40,30
PK2723,Bori,Khalli walli,Altaf bhai ki signature bori,60,25
PK2671,Bori,Khalli walli,Altaf bhai ki signature bori,31,75
PK3967,Bori,Khalli walli,Altaf bhai ki signature bori,21,56
PK2603,Bori,Khalli walli,Altaf bhai ki signature bori,52,91
PK2284,Bori,Khalli walli,Altaf bhai ki signature bori,20,45
PK3082,Bori,Khalli walli,Altaf bhai ki signature bori,35,51
PK2787,Bori,Khalli walli,Altaf bhai ki signature bori,21,66
PK4514,Bori,Khalli walli,Altaf bhai ki signature bori,37,60
PK3714,Bori,Khalli walli,Altaf bhai ki signature bori,27,95
PK5530,Bori,Khalli walli,Altaf bhai ki signature bori,20,81
PK2002,Bori,Khalli walli,Altaf bhai ki signature bori,57,27
PK2726,Bori,Khalli walli,Altaf bhai ki signature bori,40,69
PK1445,Bori,Khalli walli,Altaf bhai ki signature bori,49,92
PK3171,Bori,Khalli walli,Altaf bhai ki signature bori,41,31
PK3490,Bori,Khalli walli,Altaf bhai ki signature bori,34,92
PK2257,Bori,Khalli walli,Altaf bhai ki signature bori,32,39
PK2777,Bori,Khalli walli,Altaf bhai ki signature bori,42,48
PK5193,Bori,Khalli walli,Altaf bhai ki signature bori,58,69
PK2667,Bori,Khalli walli,Altaf bhai ki signature bori,27,63
PK2041,Bori,Khalli walli,Altaf bhai ki signature bori,49,38
PK4428,Bori,Khalli walli,Altaf bhai ki signature bori,32,100
PK4981,Bori,Khalli walli,Altaf bhai ki signature bori,25,75
PK4885,Bori,Khalli walli,Altaf bhai ki signature bori,31,50
PK5093,Bori,Khalli walli,Altaf bhai ki signature bori,57,27
PK5093,Bori,Khalli walli,Altaf bhai ki signature bori,24,80
PK4792,Bori,Khalli walli,Altaf bhai ki signature bori,24,22
PK4979,Bori,Khalli walli,Altaf bhai ki signature bori,54,80
PK4826,Bori,Khalli walli,Altaf bhai ki signature bori,30,69
PK4835,Bori,Khalli walli,Altaf bhai ki signature bori,31,66
PK1550,Bori,Khalli walli,Altaf bhai ki signature bori,24,44
PK5167,Bori,Khalli walli,Altaf bhai ki signature bori,47,57
PK4732,Bori,Khalli walli,Altaf bhai ki signature bori,35,72
PK3543,Bori,Khalli walli,Altaf bhai ki signature bori,44,68
PK1263,Bori,Khalli walli,Altaf bhai ki signature bori,56,32
PK1556,Bori,Khalli walli,Altaf bhai ki signature bori,56,73
PK4165,Bori,Khalli walli,Altaf bhai ki signature bori,38,80
PK1982,Bori,Khalli walli,Altaf bhai ki signature bori,31,94
PK5340,Bori,Khalli walli,Altaf bhai ki signature bori,32,40
PK1952,Bori,Khalli walli,Altaf bhai ki signature bori,29,24
PK1633,Bori,Khalli walli,Altaf bhai ki signature bori,60,64
PK1607,Bori,Khalli walli,Altaf bhai ki signature bori,45,78
PK5377,Bori,Khalli walli,Altaf bhai ki signature bori,56,79
PK2135,Bori,Khalli walli,Altaf bhai ki signature bori,59,38
PK2017,Bori,Khalli walli,Altaf bhai ki signature bori,33,42
PK3356,Bori,Khalli walli,Altaf bhai ki signature bori,48,42
PK5451,Bori,Khalli walli,Altaf bhai ki signature bori,60,39
PK2222,Bori,Khalli walli,Altaf bhai ki signature bori,59,93
PK3864,Bori,Khalli walli,Altaf bhai ki signature bori,37,55
PK2822,Bori,Khalli walli,Altaf bhai ki signature bori,42,60
PK1700,Bori,Khalli walli,Altaf bhai ki signature bori,24,42
PK4148,Bori,Khalli walli,Altaf bhai ki signature bori,33,31
PK4522,Bori,Khalli walli,Altaf bhai ki signature bori,37,37
PK3753,Bori,Khalli walli,Altaf bhai ki signature bori,45,76
PK2055,Bori,Khalli walli,Altaf bhai ki signature bori,27,88
PK3925,Bori,Khalli walli,Altaf bhai ki signature bori,25,73
PK1381,Bori,Khalli walli,Altaf bhai ki signature bori,25,94
PK3031,Bori,Khalli walli,Altaf bhai ki signature bori,22,30
PK2953,Bori,Khalli walli,Altaf bhai ki signature bori,40,33
PK3775,Bori,Khalli walli,Altaf bhai ki signature bori,45,32
PK4146,Bori,Khalli walli,Altaf bhai ki signature bori,23,42
PK4031,Bori,Khalli walli,Altaf bhai ki signature bori,54,99
PK5013,Bori,Khalli walli,Altaf bhai ki signature bori,34,29
PK2520,Bori,Khalli walli,Altaf bhai ki signature bori,53,81
PK3430,Bori,Khalli walli,Altaf bhai ki signature bori,47,50
PK4760,Bori,Khalli walli,Altaf bhai ki signature bori,25,60
PK3921,Bori,Khalli walli,Altaf bhai ki signature bori,33,71
PK1587,Bori,Khalli walli,Altaf bhai ki signature bori,55,25
PK3035,Bori,Khalli walli,Altaf bhai ki signature bori,43,82
PK4858,Bori,Khalli walli,Altaf bhai ki signature bori,52,76
PK3507,Bori,Khalli walli,Altaf bhai ki signature bori,48,41
PK4416,Bori,Khalli walli,Altaf bhai ki signature bori,53,70
PK1853,Bori,Khalli walli,Altaf bhai ki signature bori,41,57
PK2539,Bori,Khalli walli,Altaf bhai ki signature bori,21,38
PK3783,Bori,Khalli walli,Altaf bhai ki signature bori,59,62
PK5204,Bori,Khalli walli,Altaf bhai ki signature bori,26,28
PK2078,Bori,Khalli walli,Altaf bhai ki signature bori,33,23
PK5335,Bori,Khalli walli,Altaf bhai ki signature bori,45,41
PK2182,Bori,Khalli walli,Altaf bhai ki signature bori,46,34
PK4071,Bori,Khalli walli,Altaf bhai ki signature bori,28,38
PK2656,Bori,Khalli walli,Altaf bhai ki signature bori,27,93
PK5389,Bori,Khalli walli,Altaf bhai ki signature bori,36,35
PK1578,Bori,Khalli walli,Altaf bhai ki signature bori,40,60
PK2157,Bori,Khalli walli,Altaf bhai ki signature bori,55,92
PK3526,Bori,Khalli walli,Altaf bhai ki signature bori,28,36
PK4422,Bori,Khalli walli,Altaf bhai ki signature bori,25,21
PK2698,Bori,Khalli walli,Altaf bhai ki signature bori,35,83
PK5430,Bori,Khalli walli,Altaf bhai ki signature bori,60,90
PK4274,Bori,Khalli walli,Altaf bhai ki signature bori,27,71
PK2980,Bori,Khalli walli,Altaf bhai ki signature bori,52,28
PK3668,Bori,Khalli walli,Altaf bhai ki signature bori,40,31
